Past,EVT,ACRES
Past Conifer,Agricultural,6069
Past Conifer,Conifer,1384943
Past Conifer,Developed,13890
Past Conifer,Exotics,62380
Past Conifer,Grassland,120142
Past Conifer,Hardwood,7411
Past Conifer,Riparian,13511
Past Conifer,Shrubland,120509
Past Grassland,Agricultural,249031
Past Grassland,Conifer,87760
Past Grassland,Developed,60735
Past Grassland,Exotics,77461
Past Grassland,Grassland,703110
Past Grassland,Hardwood,1060
Past Grassland,Riparian,36213
Past Grassland,Shrubland,213860
Past Hardwood,Agricultural,75
Past Hardwood,Conifer,19644
Past Hardwood,Developed,240
Past Hardwood,Exotics,878
Past Hardwood,Grassland,777
Past Hardwood,Hardwood,5580
Past Hardwood,Riparian,3
Past Hardwood,Shrubland,388
Past Hardwood-Conifer,Agricultural,8
Past Hardwood-Conifer,Conifer,6291
Past Hardwood-Conifer,Developed,107
Past Hardwood-Conifer,Exotics,1067
Past Hardwood-Conifer,Grassland,13357
Past Hardwood-Conifer,Hardwood,2662
Past Hardwood-Conifer,Riparian,0
Past Hardwood-Conifer,Shrubland,3721
Past Riparian,Agricultural,13525
Past Riparian,Conifer,21794
Past Riparian,Developed,4167
Past Riparian,Exotics,3176
Past Riparian,Grassland,12755
Past Riparian,Hardwood,10
Past Riparian,Riparian,21059
Past Riparian,Shrubland,8995
Past Shrubland,Agricultural,6468
Past Shrubland,Conifer,23883
Past Shrubland,Developed,6865
Past Shrubland,Exotics,7183
Past Shrubland,Grassland,48406
Past Shrubland,Hardwood,2267
Past Shrubland,Riparian,12683
Past Shrubland,Shrubland,25959
